ChannelTitle,VideoTitle,Description,PublishedAt,CategoryId,ViewCount,LikeCount,CommentCount
70대 어머니와떠나는먹방여행,엄마 정말 왜그래 ???     #shorts,,2021-12-17T13:16:48Z,22,407893,5267,108
Liverpool FC,Highlights: Tottenham 2-2 Liverpool | Jota & Robertson score in all-action draw,"Diogo Jota and Andy Robertson netted brilliant goals for Jürgen Klopp's side, to earn a draw in the Premier League against Tottenham

Get full-match replays, exclusive training access and so much more on LFCTV GO. Use the code 2122GOFREE to Get your first month FREE! https://www.liverpoolfc.com/watch

Enjoy more content and get exclusive perks in our Liverpool FC Members Area, click here to find out more: https://www.youtube.com/LiverpoolFC/join

Subscribe now to Liverpool FC on YouTube, and get notified when new videos land: https://www.youtube.com/subscription_center?add_user=LiverpoolFC

#Liverpool #LFC",2021-12-19T22:00:01Z,17,598027,14315,767
김지윤의 지식Play,"우크라이나와 푸틴, 러시아인들은 어떻게 보고 있을까? 일리야와 러시아 정치사 총정리!","#러시아 #푸틴 #우크라이나 #국제정치

우크라이나와 푸틴, 러시아인들은 어떻게 보고 있을까?
일리야와 러시아 정치사 총정리!

즐거움과 유익함이 가득가득
김지윤 박사가 들려주는 재미있는 이야기
구독 , 좋아요!  김지윤의 지식Play

kimjyTV@gmail.com",2021-12-19T09:39:37Z,27,131261,5039,396
The Late Late Show with James Corden,BTS Performs a Concert in the Crosswalk,"BTS has played the world's biggest venues and stages, but James Corden has a new forum for the international sensation: the crosswalk at Beverly Blvd. and Genesee Av. Watch as the group dazzles fans and Los Angeles commuters with performances of their hits ""Butter,"" ""Permission to Dance"" and ""Dynamite.""

More Late Late Show:
Subscribe: http://bit.ly/CordenYouTube
Watch Full Episodes: http://bit.ly/1ENyPw4
Facebook: http://on.fb.me/19PIHLC
Twitter: http://bit.ly/1Iv0q6k
Instagram: http://bit.ly/latelategram

Watch The Late Late Show with James Corden weeknights at 12:35 AM ET/11:35 PM CT. Only on CBS.

Get new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B

---
Each week night, THE LATE LATE SHOW with JAMES CORDEN throws the ultimate late night after party with a mix of celebrity guests, edgy musical acts, games and sketches. Corden differentiates his show by offering viewers a peek behind-the-scenes into the green room, bringing all of his guests out at once and lending his musical and acting talents to various sketches. Additionally, bandleader Reggie Watts and the house band provide original, improvised music throughout the show. Since Corden took the reigns as host in March 2015, he has quickly become known for generating buzzworthy viral videos, such as Carpool Karaoke.""",2021-12-17T06:03:02Z,24,9921094,1171768,36329
재훍 영상툰,찌질이끼리 사귀면 어떨까? | 컬투쇼 영상툰,"얼마나 속터질지 살펴보아요

#재훍 #컬투쇼 #찌질이",2021-12-19T05:00:17Z,1,216459,4148,186
방과후 설렘,[방과후 설렘 4화] '아이키쌤'까지 울린 1학년 탈락식_선공개,"[방과후 설렘 4화] '아이키쌤'까지 울린 1학년 탈락식_선공개


💕방과후 설렘 
매주 일요일 오후 9시 본방사수!


당신을 설레게 한 학생에게 투표하세요
https://now.naver.com/s/myteenagegirl/


방과후 설렘 💕
컨텐츠 홈 : https://now.naver.com/s/myteenagegirl/
홈페이지 : http://program.imbc.com/myteenagegirl

YOUTUBE : https://me2.kr/skd4l
Facebook : http://www.facebook.com/teenagegirls11
Instagram : http://www.instagram.com/teenage_girls_11/
Twitter : http://www.twitter.com/Teenage_girls11
NAVER POST : https://post.naver.com/phunky_official


#방과후설렘 #Teenagegirls #MBC #NAVER_NOW",2021-12-19T00:00:06Z,24,386926,6495,617
취미로 요리하는 남자 Yonam,집에 임산부가 있는데 또 임산부가 왔어요,"💗⬇⬇⬇더 보기를 눌러주세요💗

꿀떡이와 띠로의 미래는?

#꿀떡이 #띠로 #내년에만나:)   

📸인스타그램
https://www.instagram.com/yonamism/

🖥페이스북
https://www.facebook.com/yonamism

🎓취미로 요리하는 남자의 온라인 수비드 강의 
https://class101.app/e/Yonam-class

📌자주 묻는 질문 QnA영상
https://www.youtube.com/watch?v=AoicwJ1zvPU


-이 음악은 멜론에 없을 수 있습니다. 유튜브 혹은 에피데믹사운드에 검색하세요-


Just Give It a Go - Flux Vortex
Not Gonna Wake Up - Mindme
Sweet Baby - Bothnia
What If I - Candelion
Tomorrow - Jimmy Wahlsteen
Why Don't You Come Over - Stonekeepers


🔔제가 사용하는 제품정보.

🍳조리도구
넓은 월넛 나무 상판 - 도마용 본드를 사용해 직접 집성해 만들었습니다.
도마 - heters 엔드그레인
황동월넛팔각도마 - yonam.net 자체제작
칼 - Chroma type301 10인치 쉐프나이프 
칼 - Chroma type301 8인치 카빙나이프 
수비드머신 - 아노바나노, Joule 230v, 수비드수프림 9L 블랙, 11L 스텐
진공머신 - foodSaver, 위즈웰
진공팩 - foodsaver
감자 슬라이서 – GEFU
스탠팬 - 플래티나 
검정팬 - 에지리 양면코팅 
검정웍 - 에지리 양면코팅 뚜껑포함 궁중팬 
코팅팬 - 엑스칼리버 하트만 
              지스페로 무쇠팬
버너 - 파워플레이트 NO3 
집게 - yonam.net 자체제작
가위 - 토리베 
랍스터가위 - JS다이닝
스페츌러 - 토볼로
스텐거품기 - 요시가와
사시미 - 무네카게 키리츠케 , 우마노스케 청일강 키리츠케 330
페스트리 챠퍼 – 우든스끼바
커트러리 - 큐티폴고아 
후추그라인더 - adhoc 페퍼밀 
강판 - 마이크로플레인 마스터 제스터
핸드블렌더 - 바믹스
칼가방- JS다이닝

🚐캠핑장비
아이스박스 - 이백쿨러 
카고백 - 버팔로
랜턴 - 녹턴
랜턴 - 루미에르
캠핑 테이블 - 스노우피크 IGT테이블 커스텀 (파츠별로 골라서 조립하는 시스템입니다.)
캠핑 높낮이 조절 그릴  - 스노우피크 리프트업그릴
캠핑 바비큐박스 – 우드앤번 모델 구매 후 스텐판 자체제작 등 개조해서 만들었습니다
검정색 나무쟁반 - 블랙골드 우드박스
접시 – 스푼센스 비스트로

🎬편집
김시유
yonam",2021-12-18T11:29:22Z,24,591151,10831,588
고로켓,채훈아 사실 너 좋아해 #윗유하우스 #크리스마스윗유 #shorts,,2021-12-17T04:12:50Z,24,724329,20381,292
승비니 Seungbini,여름철 한명씩 꼭있는 친구 특징,,2021-12-18T10:00:16Z,22,255881,8793,276
어썸 코리아 Awesome KOREA,외국인이 한국어 숫자 배울때 멘붕오는 이유?! (외국 학생들 인터뷰),"❤ 촬영에 협조해주신 [한국외대 한국어문화교육원] 관계자 여러분 감사합니다!

외국인들이 한국 숫자를 배울 때 멘붕오는 이유는....?

♥영상이 재미있으셨다면 구독 좋아요 누르는 센스!
♥출연자분들이 체험해봤으면 하는 것들이나
   듣고싶은 이야기가 있다면 ☞댓글☜ 로 남겨주세요


※※※어썸코리아 출연문의 : awesomekorea01@gmail.com
한국을 사랑하는 외국인분들의 이야기를 기다립니다:)",2021-12-18T04:00:20Z,24,345855,7077,512
둥지언니 Doongsis,물가가 말도 안 되게 싸고 한국인이 없는 터키 무격리 입국 【터키.01】,"결혼 5년 차에 있던 살림 살이 다 팔고
어디서든 살아보자는 마음으로 집 없이 떠돌아 다닌게 벌써 3개월
어느새 터키라는 나라에 머물게 되었네요
늘 로망이었던 해외살이를 이제부터 본격적으로 시작합니다.
#터키무격리입국 #터키한달살기 #미친물가터키

💛둥지언니 채널 후원하기
https://www.youtube.com/channel/UCGznJ6xII2H4BIXEclV9QEg/join

☑️인스타그램
https://www.instagram.com/gentle_doong/

광고 문의
email : mikokim02@gmail.com
[모든 메일에 답변이 어려운 점 양해 부탁드립니다]",2021-12-19T02:00:08Z,22,149677,5114,653
Jennierubyjane Official,Homemade mandu vlog (feat. JISOO),#JENNIE #제니 #JISOO #지수 #Homemade #Mandu #만두만들기,2021-12-17T09:00:12Z,22,4094877,715500,35113
[헝가리부부]김패밀리VLOG,(SUB) [헝가리부부] 출산후 미역국만 먹다가 꼬리곰탕 맛보고 그릇째 원샷하는 헝가리 아내🇭🇺/Wife drinking oxtail soup after childbirth👍,"김패밀리 채널 무료로 구독하기! https://bit.ly/2oTd7t1 감사합니다😁🙇🏻‍♂️❤️

#국제커플 #AMWF #꼬리곰탕 #원샷
인스타그램 - https://www.instagram.com/hungary_bubu/
후원문의 - dktorrl3219@gmail.com (Paypal account)
                 dktorrl3219 (카카오톡ID)
                 카카오뱅크 3333-14-6843790

안녕하세요~!!👋
이번영상은 최근에 아내에게 소꼬리곰탕을 해준 영상입니다~!
다행히 장모님도 그리고 더니도 너무 맛있게 먹어 주었고 특히 오르시가 이틀연속으로 잘 먹어 주어서 더 감사했던 영상입니다~
그리고 한나도 어떻게 이렇게 카메라 앞에서 배냇짓을 예쁘게 하는지... ❤️
사실 신생아 미소를 포착하는게 쉽지 않은 일인데 이렇게 멋지게 영상으로 남기게 되어서 한나에게도 너무나 고맙네요^^
그럼 모두 추워지는 날씨에 뜨끈한 꼬리곰탕도 한그릇 하시고 감기 조심하세요~
오늘도 시청해 주셔서 너무나 감사드립니다~!!
사랑합니다❤️





––––––––––––––––––––––––––––––––––––––––––––––––––
[Video Source Support]
Youtube channel ""freeticon"" : https://www.youtube.com/c/Freeticon
––––––––––––––––––––––––––––––––––––––––––––––––––",2021-12-18T00:00:18Z,22,430364,22909,1101
Various Artists - Topic,Still I Love You (스틸 아이 러브 유),"Provided to YouTube by CONSALAD

Still I Love You (스틸 아이 러브 유) · Toyote

Still I Love You

℗ Dreamus

Released on: 2021-12-18

Lyricist: 블랙아이드필승
Lyricist: 전군
Lyricist: HaHa
Composer: 블랙아이드필승
Composer: 전군
Arranger: 최규성

Auto-generated by YouTube.",2021-12-18T09:06:11Z,10,80877,2838,0
햇도시락HDSR,👥👤뭐야..👤👥👥누가 아웃백 전메뉴 시켜 먹는다고…?👥👤👥👤웅성웅성..👥👤네 여기 전부 주문이요🙋‍♀🔥아웃백 전메뉴 먹방🔥,"#햇도시락

햇님 나도 시니 🍱 햇도시락!
인스타도 팔로우해주세요 💛 @hatdosi

- 비즈니스 문의 : hatdosirak@naver.com
- 본 영상의 저작권은 햇도시락에 있으며, 무단 배포를 금지합니다.",2021-12-18T12:01:07Z,22,327996,7317,484
쿠팡플레이 Coupang Play,"[어느 날 EP.8] 차승원 회심의 한방 ""증거는 오염되었다!"" VS 얄짤없는 김신록 ""사형 구형!""ㅣ어느 날 하이라이트 | 쿠팡플레이 | 쿠팡","쿠팡플레이 첫 드라마 시리즈 '어느 날' 하이라이트 공개💡 

🚩어느 날 풀버전은 쿠팡플레이에서!
https://coupangplay.app.link/rjxmc9RQ4lb

#김수현 #차승원 #김신록 #홍정아 #어느날 #쿠팡플레이 #쿠팡",2021-12-19T03:00:06Z,24,376931,1783,465
루디고 RUDYGO,"사이다) 임대 아파트 거지 취급하는 돈부심 허세충의 최후 (금수저, 고급 아파트, 폰남더힐) | [루대숲] - 37번 째 사연","💜비즈니스 문의는 여기로💜
inforudygo@gmail.com

💜루대숲 출연 신청 메일💜
(연기 영상과 연락처, 경력 꼭 첨부 부탁드립다)
rudygo.love@gmail.com

💜루대숲 사연함💜
rudygo.love@gmail.com

💗출연자 화장품 정보

👩‍🦱 사연자-황선혜 배우님

섀도우: 언스 타이다이 4구 아이섀도우 팔레트 02타이다이코랄
https://bit.ly/3ugPvMz

립: 원스텝 소프트 매트 립스틱 02 재즈로즈https://unce.kr/product/%EC%9B%90%EC%8A%A4%ED%85%9D-%EC%86%8C%ED%94%84%ED%8A%B8-%EB%A7%A4%ED%8A%B8-%EB%A6%BD%EC%8A%A4%ED%8B%B1-02%EC%9E%AC%EC%A6%88%EB%A1%9C%EC%A6%88/22/category/47/display/1/

블러셔: 스포트라이트 치크 파우더 블러셔01핑크플라멩코
https://bit.ly/3zNHqQu

아이라인 : 케이트 수퍼 샤프라이너 
ex2.0https://smartstore.naver.com/flytojap...


👩‍🦱 강하니 역 - 송예빈

섀도우: 언스 타이다이 4구 아이섀도우 팔레트 02타이다이코랄
https://bit.ly/3ugPvMz

립: 원스텝 소프트 매트 립스틱01발레핑크
https://bit.ly/2WfUIHX

블러셔 : 이글립스 치크 핏 블러셔 03 피치치크핏
https://www.tmon.co.kr/deal/9375860950?coupon_srl=2804298&utm_source=naver&utm_medium=affiliate&utm_term=72093_1008&utm_content=&utm_campaign=META_%EB%84%A4%EC%9D%B4%EB%B2%84%EC%A7%80%EC%8B%9D%EC%87%BC%ED%95%91


-출연자와 사연자를 비방하는 악플은 임의로 삭제하겠습니다

'루대숲'은 연애, 친구 관계, 학업 등루디고 구독자님들의 다양한 고민과 사연을 받아 각색하여 재연한 웹드라마입니다

#루디고 #루대숲 #사이다 #참교육👇루디 GO! SNS GO!https://www.instagram.com/rudygo.instahttps://www.tiktok.com/@rudygo.official",2021-12-18T02:00:11Z,24,733904,12190,709
양장금주부,양배추를 이렇게 해줬더니 퇴근길에 양배추를 3통이나 사왔어요!,"#양장금주부

[재료] - 양배추도우 2장 분량입니다.
양배추1/4쪽(250g)
고구마작은것2/3개(60g)
양파작은것1/2개(80g)
계란3알
식초약간

[토핑]
소세지1개(60g)
모짜렐라치즈2봉지(200g)
청양고추2/3개
홍고추2/3개
케챱2큰술 (양배추피자도우 1장에 1큰술씩입니다)
머스타드소스2큰술(양배추피자도우 1장에 1큰술씩입니다)
파슬리약간

[양배추도우양념]
꽃소금1티스푼
후추톡톡4번

[양념계량기준]
계량컵200ml
밥수저(큰술)
커피수저(티스푼)",2021-12-19T00:12:54Z,26,168345,5306,89
CheezeFilm,[복수여신] 수상한 전학생이 나타났다 (SUB),"리브넥스트 App 다운로드
https://dlNXHxicgEieBp0P9M3bmg.adtouch.adbrix.io/api/v1/click/9KLrWaxHr0a3e6hZUHf5UA?adv_placement=youtube_cheesefilm&adv_campaign=ppl&adv_ad=desc&adv_adgroup=all&adv_creative=webdrama
#웹드라마 #사랑학개론 #국민은행",2021-12-17T08:00:19Z,24,1015259,33216,1159
승비니 Seungbini,이모티콘 순서대로 음식 먹기,,2021-12-17T10:00:20Z,22,475797,15696,435
MBCdrama,"[옷소매 붉은 끝동 13회 예고] ＂너와 나, 둘뿐이다＂, MBC 211224 방송","★★★More clips are available★★★

iMBC
https://playvod.imbc.com/templete/VodList?bid=1005299100000100000

WAVVE
https://www.wavve.com/player/vod?contentid=M_EP202111030007.1&onair=n&order=new&page=1&programid=",2021-12-18T14:42:41Z,22,509287,8408,856
슈카월드,"일본의 한국 경제보복, 2년 후 지금","슈카월드에서 책 관련 보조작가님을 모십니다.
""https://antok.co.kr/notice/341195"" 에서 자세한 내용을 확인해주세요. 감사합니다.

어렵고 딱딱한 경제,시사,금융 이야기를
쉽고 유쾌하게 풀어내는 
경제/시사/이슈/잡썰 토크방송입니다.

#무역분쟁",2021-12-17T10:32:58Z,23,755348,15015,2315
리얼깽TV RealkkaengTV,현재 동해안 최고의 이슈!!! 물고기 떼가 들어왔다  / Let's take out  a fish trap deep in the sea.,"요즘 동해안의 뜨거운 감자!
바로바로~ 도루묵!!!!!
도루묵을 잡으려고 통발을 쳐놓고
제대로 걷어가지 않아
현재 동해안의 골칫거리가 되었다고 하는대요.
가져가지 않은 통발로 인해
바다생물이 그 속으로 들어가서 죽기를 반복!
또한 해양오염을 일으키고 있죠~
그래서 리얼깽tv가 출동했습니다.
테트라포트 사이에 낀 통발을 제거하자~!
한겨울에 바닷물속이라니? 으~~ 춥다! 추워~ㅎㅎ
그럼 한겨울 물속 영상!
깽구 여러분도 같이 보시죠~^^
.
.
★스탠리 제품 구매 링크★
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://bit.ly/30yr6Ym

––––––––––––––––––––––––––––––––––––––––––––––––––
* 고성군 제철 생선을 먹고 싶다면 & 고성군 여행·낚시 정보를 알고싶다면
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
네이버 카페: 리얼깽TV & 깽수산 https://cafe.naver.com/realkkaengtv

협찬 & 광고문의는 이쪽에
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
hot486love48@naver.com
––––––––––––––––––––––––––––––––––––––––––––––––––
.
.
#동해안 #도루묵 #도루묵통발 #광고 #스탠리 #스탠리_어드벤처_워터저그 #스탠리_어드벤처_쿨러 #해양오염 #도루묵구이 #알도루묵  #바다 #통발 #물고기 #리얼 #시골 #재미 #먹방 #쿡방 #술방#the_eastern_coast_of_Korea #real #fun #sea  #hot_issue #sailfin_sandfish #fish_trap #sea_food #drinking #mukbang #korea_youtuber",2021-12-19T01:01:29Z,24,230528,6948,497
CalBap-캘리포니아 건강밥상,동지팥죽을 여러 번거로운 과정없이 안쳐주기만 하면 알아서 다 해주는 세상쉬운 팥죽끓이기. 칼밥상#267,"겨울이면 꼭 한번 해 먹고 싶은 팥죽!!
다음 주면 밤이 가장 길다는 동지인데요
따끈따끈한 팥죽으로 정다운 가족, 이웃들과 함께 해 보시면 어떨까요?
밥솥을 이용하면 여러가지 번거로운 과정없이  안쳐 주기기만 하면
밥솥이 알아서 다 해줍니다
저는 양을 좀 많이 했지만 식구가 적다면 레시피 분량의 반으로 줄여서 
하시면 되겠지요
동지팥죽
재료: 마른팥 2컵(400g)-하루 충분히 물에 불려 놓습니다
           밥 1공기, 떡 150g(잘게 썰어놓습니다), 소금 1큰술, 물 2리터&1컵
만들기
1) 충분히 불린 팥을(4컵반정도) 내솥에 넣고 물 1과 1/2컵을 넣고
     백미취사를 합니다(30분 소요)
2) 삶은통팥 2컵을 따로 떠 놓고 나머지 삶은팥은 블렌더에 넣고 물 5-6컵과 
    함께 곱게 간 후 다시 내솥에 붓습니다
    나머지 물도 다 넣습니다
3) 밥1공기와 떡, 2컵의 삶은 통팥을 넣고 메뉴를 영양찜으로 선택, 시간을
     50분으로 해서 취사를 합니다
4) 50분 후 두껑을 열고 소금 1큰술(취향에 따라 조절)을 넣고 간을 맞춥니다
     #동지팥죽#죽#캘리포니아건강밥상

💛웹싸이트 방문하시면 모든요리가  종류별로 분류되어 있어 
     찾기가 쉽습니다
     https://www.calbapsang.com
▶채널에 가입하셔서 혜택을 누리시기 바랍니다
     https://www.youtube.com/channel/calbap
▶인스타그램
     https://www.instagram.com/calbapsang
▶ 칼밥채널 바로가기 https://www.youtube.com/c/calbap",2021-12-17T21:52:46Z,29,112657,3216,102
AOMGOFFICIAL,Meenoi's Yorizori Season2 | EP.1 Lee yongjin,"*본 콘텐츠는 빔산토리코리아와 카모메키친으로부터 실물 협찬 및 제작지원을 받아 제작되었습니다 

⛄️ meenoi's yorizori season2
 
🎬 NOW AVAILABLE TO WATCH
on AOMGOFFICIAL Youtube Channel  

-
#meenoi #Leeyongjin
#미노이의요리조리 #yorizori
#AOMG #8BALLTOWN

-
Business Contact : miribang@aomgofficial.com 
_
◆ Official AOMG
Instagram : https://instagram.com/AOMGOFFICIAL
Twitter : https://twitter.com/AOMGOFFICIAL
YouTube : https://youtube.com/AOMGOFFICIAL
Facebook : https://facebook.com/AOMGOFFICIAL",2021-12-17T11:00:49Z,10,669498,25990,1481
